tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
1000,positive,0.9,,0.0,United,,User4468,,28,Amazing flight crew! So friendly and attentive. @AmericanAir you guys rock!,,2015-03-08 23:06:00 ,Boston,
1001,positive,0.64,,0.0,United,,User1629,,64,Amazing flight crew! So friendly and attentive. @AmericanAir you guys rock!,,2015-07-05 00:35:00 ,Seattle,Central Time
1002,positive,0.92,,0.0,American,,User2788,,97,Flying with @Delta today and everything was perfect. No complaints at all!,,2015-03-13 22:27:00 ,LA,Central Time
1003,negative,0.73,Customer service issue,0.69,Virgin America,,User356,,44,@AlaskaAir my miles expired without warning. No courtesy email or anything. Shady practices.,,2015-07-05 08:51:00 ,Miami,
1004,negative,0.63,Bad flight,0.91,Virgin America,,User376,,73,@JetBlue your WiFi never works. Paying for internet that doesn't connect. Ridiculous.,,2015-03-22 22:04:00 ,Chicago,Pacific Time
1005,neutral,0.85,,0.0,JetBlue,,User2989,,35,@AmericanAir reminder: check-in opens 24 hours before departure.,,2015-05-28 20:53:00 ,NYC,Pacific Time
1006,positive,0.71,,0.0,Delta,,User2006,,77,@SouthwestAir no fees for bags? Yes please! Best airline hands down.,,2015-07-13 05:34:00 ,NYC,Mountain Time
1007,positive,0.88,,0.0,United,,User263,,87,Another smooth flight with @AlaskaAir. You guys never disappoint!,,2015-04-25 01:14:00 ,Dallas,Mountain Time
1008,negative,0.97,Flight booking problems,0.61,Alaska,,User2170,,50,@AlaskaAir overbooked and bumped me off my flight. Terrible communication.,,2015-07-15 14:09:00 ,NYC,Central Time
1009,neutral,0.61,,0.0,JetBlue,,User1134,,74,@JetBlue will begin serving additional routes from JFK starting in June.,,2015-05-14 11:14:00 ,Miami,Eastern Time
1010,neutral,0.56,,0.0,Southwest,,User3153,,87,@United just published their new route map for next summer.,,2015-05-20 19:04:00 ,Seattle,
1011,neutral,0.6,,0.0,American,,User4399,,87,@United launched a mobile app update with improved seat selection.,,2015-03-02 21:56:00 ,LA,Pacific Time
1012,negative,0.66,Late flight,0.98,US Airways,,User872,,64,@AlaskaAir gate agent was incredibly rude. Made me check a bag that fit in the overhead. Ugh.,,2015-03-18 16:58:00 ,LA,
1013,positive,0.75,,0.0,Southwest,,User2656,,69,Love flying @JetBlue. Legroom is awesome and the snacks are tasty. :),,2015-06-16 00:38:00 ,Miami,Eastern Time
1014,negative,0.95,Bad flight,0.62,United,,User3982,,72,@USAirways checked my bag and it came back damaged. Who pays for this mess?,,2015-02-21 02:46:00 ,Boston,
1015,neutral,0.76,,0.0,Southwest,,User1736,,33,@USAirways is updating their baggage policy effective next month.,,2015-06-16 19:27:00 ,Chicago,Pacific Time
1016,positive,0.86,,0.0,Alaska,,User1841,,66,@SouthwestAir no fees for bags? Yes please! Best airline hands down.,,2015-05-27 03:15:00 ,Boston,Pacific Time
1017,negative,0.69,Lost luggage,0.5,American,,User2707,,29,@United you lost my connecting flight because of poor organization. Missing a wedding now.,,2015-02-18 01:55:00 ,Boston,
1018,negative,0.79,Canceled flight,0.86,Alaska,,User773,,31,@SouthwestAir no power outlets at my seat. My phone died mid-flight. Very inconvenient.,,2015-06-02 13:12:00 ,Boston,Mountain Time
1019,positive,0.79,,0.0,American,,User497,,86,@AlaskaAir check-in was a breeze and boarding was super organized. Love it!,,2015-07-18 20:06:00 ,Seattle,Pacific Time
1020,neutral,0.6,,0.0,United,,User1504,,68,@United just published their new route map for next summer.,,2015-05-26 04:27:00 ,LA,Mountain Time
1021,negative,0.78,Customer service issue,0.53,American,,User3979,,11,@SouthwestAir lost my bag AGAIN. This is the third time. So frustrated!,,2015-04-02 05:26:00 ,Miami,Central Time
1022,neutral,0.57,,0.0,American,,User3466,,49,@Delta departing on time from ATL to LAX today.,,2015-04-09 14:18:00 ,Miami,Central Time
1023,negative,0.99,Late flight,0.87,American,,User4351,,6,@AlaskaAir overbooked and bumped me off my flight. Terrible communication.,,2015-06-30 15:32:00 ,NYC,Eastern Time
1024,neutral,0.84,,0.0,Delta,,User1927,,76,@SouthwestAir will be offering complimentary coffee and tea on all morning flights.,,2015-02-18 21:55:00 ,Seattle,Eastern Time
